#####################################
##### THERE ARE 2 TARGETS ###########
RLS range: 1000
RLS coordinates: 0:0
###########STARTING PELENG###########
Time: 85, Target #0, Type: Aircraft, Distance: 155.858, Angle: 225, Coordinates: -110.208:-110.208
Time: 86, Target #0, Type: Aircraft, Distance: 157.858, Angle: 225, Coordinates: -111.622:-111.622
Time: 87, Target #0, Type: Aircraft, Distance: 159.858, Angle: 225, Coordinates: -113.037:-113.037
Time: 88, Target #0, Type: Aircraft, Distance: 161.858, Angle: 225, Coordinates: -114.451:-114.451
Time: 89, Target #0, Type: Aircraft, Distance: 163.858, Angle: 225, Coordinates: -115.865:-115.865
Time: 90, Target #0, Type: Aircraft, Distance: 165.858, Angle: 225, Coordinates: -117.279:-117.279
Time: 91, Target #0, Type: Aircraft, Distance: 167.858, Angle: 225, Coordinates: -118.693:-118.693
Time: 92, Target #0, Type: Aircraft, Distance: 169.858, Angle: 225, Coordinates: -120.108:-120.108
Time: 93, Target #0, Type: Aircraft, Distance: 171.858, Angle: 225, Coordinates: -121.522:-121.522
Time: 94, Target #0, Type: Aircraft, Distance: 173.858, Angle: 225, Coordinates: -122.936:-122.936
Time: 95, Target #0, Type: Aircraft, Distance: 175.858, Angle: 225, Coordinates: -124.35:-124.35
Time: 96, Target #0, Type: Aircraft, Distance: 177.858, Angle: 225, Coordinates: -125.765:-125.765
Time: 97, Target #0, Type: Aircraft, Distance: 179.858, Angle: 225, Coordinates: -127.179:-127.179
Time: 98, Target #0, Type: Aircraft, Distance: 181.858, Angle: 225, Coordinates: -128.593:-128.593
Time: 99, Target #0, Type: Aircraft, Distance: 183.858, Angle: 225, Coordinates: -130.007:-130.007
Time: 100, Target #0, Type: Aircraft, Distance: 185.858, Angle: 225, Coordinates: -131.421:-131.421
Time: 101, Target #0, Type: Aircraft, Distance: 187.858, Angle: 225, Coordinates: -132.836:-132.836
Time: 102, Target #0, Type: Aircraft, Distance: 189.858, Angle: 225, Coordinates: -134.25:-134.25
Time: 103, Target #0, Type: Aircraft, Distance: 191.858, Angle: 225, Coordinates: -135.664:-135.664
Time: 104, Target #0, Type: Aircraft, Distance: 193.858, Angle: 225, Coordinates: -137.078:-137.078
Time: 105, Target #0, Type: Aircraft, Distance: 195.858, Angle: 225, Coordinates: -138.492:-138.492
Time: 106, Target #0, Type: Aircraft, Distance: 197.858, Angle: 225, Coordinates: -139.907:-139.907
Time: 107, Target #0, Type: Aircraft, Distance: 199.858, Angle: 225, Coordinates: -141.321:-141.321
Time: 108, Target #0, Type: Aircraft, Distance: 201.858, Angle: 225, Coordinates: -142.735:-142.735
Time: 109, Target #0, Type: Aircraft, Distance: 203.858, Angle: 225, Coordinates: -144.149:-144.149
Time: 110, Target #0, Type: Aircraft, Distance: 205.858, Angle: 225, Coordinates: -145.563:-145.563
Time: 111, Target #0, Type: Aircraft, Distance: 207.858, Angle: 225, Coordinates: -146.978:-146.978
Time: 112, Target #0, Type: Aircraft, Distance: 209.858, Angle: 225, Coordinates: -148.392:-148.392
Time: 113, Target #0, Type: Aircraft, Distance: 211.858, Angle: 225, Coordinates: -149.806:-149.806
Time: 114, Target #0, Type: Aircraft, Distance: 213.858, Angle: 225, Coordinates: -151.22:-151.22
Time: 115, Target #0, Type: Aircraft, Distance: 215.858, Angle: 225, Coordinates: -152.635:-152.635
Time: 116, Target #0, Type: Aircraft, Distance: 217.858, Angle: 225, Coordinates: -154.049:-154.049
Time: 117, Target #0, Type: Aircraft, Distance: 219.858, Angle: 225, Coordinates: -155.463:-155.463
Time: 118, Target #0, Type: Aircraft, Distance: 221.858, Angle: 225, Coordinates: -156.877:-156.877
Time: 119, Target #0, Type: Aircraft, Distance: 223.858, Angle: 225, Coordinates: -158.291:-158.291
Time: 120, Target #0, Type: Aircraft, Distance: 225.858, Angle: 225, Coordinates: -159.706:-159.706
Time: 121, Target #0, Type: Aircraft, Distance: 227.858, Angle: 225, Coordinates: -161.12:-161.12
Time: 122, Target #0, Type: Aircraft, Distance: 229.858, Angle: 225, Coordinates: -162.534:-162.534
Time: 123, Target #0, Type: Aircraft, Distance: 231.858, Angle: 225, Coordinates: -163.948:-163.948
Time: 124, Target #0, Type: Aircraft, Distance: 233.858, Angle: 225, Coordinates: -165.362:-165.362
Time: 125, Target #0, Type: Aircraft, Distance: 235.858, Angle: 225, Coordinates: -166.777:-166.777
Time: 126, Target #0, Type: Aircraft, Distance: 237.858, Angle: 225, Coordinates: -168.191:-168.191
Time: 127, Target #0, Type: Aircraft, Distance: 239.858, Angle: 225, Coordinates: -169.605:-169.605
Time: 128, Target #0, Type: Aircraft, Distance: 241.858, Angle: 225, Coordinates: -171.019:-171.019
Time: 129, Target #0, Type: Aircraft, Distance: 243.858, Angle: 225, Coordinates: -172.434:-172.434
Time: 130, Target #0, Type: Aircraft, Distance: 245.858, Angle: 225, Coordinates: -173.848:-173.848
Time: 131, Target #0, Type: Aircraft, Distance: 247.858, Angle: 225, Coordinates: -175.262:-175.262
Time: 132, Target #0, Type: Aircraft, Distance: 249.858, Angle: 225, Coordinates: -176.676:-176.676
Time: 133, Target #0, Type: Aircraft, Distance: 251.858, Angle: 225, Coordinates: -178.09:-178.09
Time: 134, Target #0, Type: Aircraft, Distance: 253.858, Angle: 225, Coordinates: -179.505:-179.505
Time: 135, Target #0, Type: Aircraft, Distance: 255.858, Angle: 225, Coordinates: -180.919:-180.919
Time: 136, Target #0, Type: Aircraft, Distance: 257.858, Angle: 225, Coordinates: -182.333:-182.333
Time: 137, Target #0, Type: Aircraft, Distance: 259.858, Angle: 225, Coordinates: -183.747:-183.747
Time: 138, Target #0, Type: Aircraft, Distance: 261.858, Angle: 225, Coordinates: -185.161:-185.161
Time: 139, Target #0, Type: Aircraft, Distance: 263.858, Angle: 225, Coordinates: -186.576:-186.576
Time: 140, Target #0, Type: Aircraft, Distance: 265.858, Angle: 225, Coordinates: -187.99:-187.99
Time: 141, Target #0, Type: Aircraft, Distance: 267.858, Angle: 225, Coordinates: -189.404:-189.404
Time: 142, Target #0, Type: Aircraft, Distance: 269.858, Angle: 225, Coordinates: -190.818:-190.818
Time: 143, Target #0, Type: Aircraft, Distance: 271.858, Angle: 225, Coordinates: -192.233:-192.233
Time: 144, Target #0, Type: Aircraft, Distance: 273.858, Angle: 225, Coordinates: -193.647:-193.647
Time: 145, Target #0, Type: Aircraft, Distance: 275.858, Angle: 225, Coordinates: -195.061:-195.061
Time: 146, Target #0, Type: Aircraft, Distance: 277.858, Angle: 225, Coordinates: -196.475:-196.475
Time: 147, Target #0, Type: Aircraft, Distance: 279.858, Angle: 225, Coordinates: -197.889:-197.889
Time: 148, Target #0, Type: Aircraft, Distance: 281.858, Angle: 225, Coordinates: -199.304:-199.304
Time: 149, Target #0, Type: Aircraft, Distance: 283.858, Angle: 225, Coordinates: -200.718:-200.718
Time: 150, Target #0, Type: Aircraft, Distance: 285.858, Angle: 225, Coordinates: -202.132:-202.132
Time: 151, Target #0, Type: Aircraft, Distance: 287.858, Angle: 225, Coordinates: -203.546:-203.546
Time: 152, Target #0, Type: Aircraft, Distance: 289.858, Angle: 225, Coordinates: -204.96:-204.96
Time: 153, Target #0, Type: Aircraft, Distance: 291.858, Angle: 225, Coordinates: -206.375:-206.375
Time: 154, Target #0, Type: Aircraft, Distance: 293.858, Angle: 225, Coordinates: -207.789:-207.789
Time: 155, Target #0, Type: Aircraft, Distance: 295.858, Angle: 225, Coordinates: -209.203:-209.203
Time: 156, Target #0, Type: Aircraft, Distance: 297.858, Angle: 225, Coordinates: -210.617:-210.617
Time: 157, Target #0, Type: Aircraft, Distance: 299.858, Angle: 225, Coordinates: -212.032:-212.032
Time: 158, Target #0, Type: Aircraft, Distance: 301.858, Angle: 225, Coordinates: -213.446:-213.446
Time: 159, Target #0, Type: Aircraft, Distance: 303.858, Angle: 225, Coordinates: -214.86:-214.86
Time: 160, Target #0, Type: Aircraft, Distance: 305.858, Angle: 225, Coordinates: -216.274:-216.274
Time: 161, Target #0, Type: Aircraft, Distance: 307.858, Angle: 225, Coordinates: -217.688:-217.688
Time: 162, Target #0, Type: Aircraft, Distance: 309.858, Angle: 225, Coordinates: -219.103:-219.103
Time: 163, Target #0, Type: Aircraft, Distance: 311.858, Angle: 225, Coordinates: -220.517:-220.517
Time: 164, Target #0, Type: Aircraft, Distance: 313.858, Angle: 225, Coordinates: -221.931:-221.931
Time: 165, Target #0, Type: Aircraft, Distance: 315.858, Angle: 225, Coordinates: -223.345:-223.345
Time: 166, Target #0, Type: Aircraft, Distance: 317.858, Angle: 225, Coordinates: -224.759:-224.759
Time: 167, Target #0, Type: Aircraft, Distance: 319.858, Angle: 225, Coordinates: -226.174:-226.174
Time: 168, Target #0, Type: Aircraft, Distance: 321.858, Angle: 225, Coordinates: -227.588:-227.588
Time: 169, Target #0, Type: Aircraft, Distance: 323.858, Angle: 225, Coordinates: -229.002:-229.002
Time: 170, Target #0, Type: Aircraft, Distance: 325.858, Angle: 225, Coordinates: -230.416:-230.416
Time: 171, Target #0, Type: Aircraft, Distance: 327.858, Angle: 225, Coordinates: -231.831:-231.831
Time: 172, Target #0, Type: Aircraft, Distance: 329.858, Angle: 225, Coordinates: -233.245:-233.245
Time: 173, Target #0, Type: Aircraft, Distance: 331.858, Angle: 225, Coordinates: -234.659:-234.659
Time: 174, Target #0, Type: Aircraft, Distance: 333.858, Angle: 225, Coordinates: -236.073:-236.073
Time: 175, Target #0, Type: Aircraft, Distance: 335.858, Angle: 225, Coordinates: -237.487:-237.487
Time: 176, Target #0, Type: Aircraft, Distance: 337.858, Angle: 225, Coordinates: -238.902:-238.902
Time: 177, Target #0, Type: Aircraft, Distance: 339.858, Angle: 225, Coordinates: -240.316:-240.316
Time: 178, Target #0, Type: Aircraft, Distance: 341.858, Angle: 225, Coordinates: -241.73:-241.73
Time: 179, Target #0, Type: Aircraft, Distance: 343.858, Angle: 225, Coordinates: -243.144:-243.144
Time: 180, Target #0, Type: Aircraft, Distance: 345.858, Angle: 225, Coordinates: -244.558:-244.558
Time: 181, Target #0, Type: Aircraft, Distance: 347.858, Angle: 225, Coordinates: -245.973:-245.973
Time: 182, Target #0, Type: Aircraft, Distance: 349.858, Angle: 225, Coordinates: -247.387:-247.387
Time: 183, Target #0, Type: Aircraft, Distance: 351.858, Angle: 225, Coordinates: -248.801:-248.801
Time: 184, Target #0, Type: Aircraft, Distance: 353.858, Angle: 225, Coordinates: -250.215:-250.215
Time: 185, Target #0, Type: Aircraft, Distance: 355.858, Angle: 225, Coordinates: -251.63:-251.63
Time: 186, Target #0, Type: Aircraft, Distance: 357.858, Angle: 225, Coordinates: -253.044:-253.044
Time: 187, Target #0, Type: Aircraft, Distance: 359.858, Angle: 225, Coordinates: -254.458:-254.458
Time: 188, Target #0, Type: Aircraft, Distance: 361.858, Angle: 225, Coordinates: -255.872:-255.872
Time: 189, Target #0, Type: Aircraft, Distance: 363.858, Angle: 225, Coordinates: -257.286:-257.286
Time: 190, Target #0, Type: Aircraft, Distance: 365.858, Angle: 225, Coordinates: -258.701:-258.701
Time: 191, Target #0, Type: Aircraft, Distance: 367.858, Angle: 225, Coordinates: -260.115:-260.115
Time: 192, Target #0, Type: Aircraft, Distance: 369.858, Angle: 225, Coordinates: -261.529:-261.529
Time: 193, Target #0, Type: Aircraft, Distance: 371.858, Angle: 225, Coordinates: -262.943:-262.943
Time: 194, Target #0, Type: Aircraft, Distance: 373.858, Angle: 225, Coordinates: -264.357:-264.357
Time: 195, Target #0, Type: Aircraft, Distance: 375.858, Angle: 225, Coordinates: -265.772:-265.772
Time: 196, Target #0, Type: Aircraft, Distance: 377.858, Angle: 225, Coordinates: -267.186:-267.186
Time: 197, Target #0, Type: Aircraft, Distance: 379.858, Angle: 225, Coordinates: -268.6:-268.6
Time: 198, Target #0, Type: Aircraft, Distance: 381.858, Angle: 225, Coordinates: -270.014:-270.014
Time: 199, Target #0, Type: Aircraft, Distance: 383.858, Angle: 225, Coordinates: -271.428:-271.428
Time: 200, Target #0, Type: Aircraft, Distance: 385.858, Angle: 225, Coordinates: -272.843:-272.843
Time: 201, Target #0, Type: Aircraft, Distance: 387.858, Angle: 225, Coordinates: -274.257:-274.257
Time: 202, Target #0, Type: Aircraft, Distance: 389.858, Angle: 225, Coordinates: -275.671:-275.671
Time: 203, Target #0, Type: Aircraft, Distance: 391.858, Angle: 225, Coordinates: -277.085:-277.085
Time: 204, Target #0, Type: Aircraft, Distance: 393.858, Angle: 225, Coordinates: -278.5:-278.5
Time: 205, Target #0, Type: Aircraft, Distance: 395.858, Angle: 225, Coordinates: -279.914:-279.914
Time: 206, Target #0, Type: Aircraft, Distance: 397.858, Angle: 225, Coordinates: -281.328:-281.328
Time: 207, Target #0, Type: Aircraft, Distance: 399.858, Angle: 225, Coordinates: -282.742:-282.742
Time: 208, Target #0, Type: Aircraft, Distance: 401.858, Angle: 225, Coordinates: -284.156:-284.156
Time: 209, Target #0, Type: Aircraft, Distance: 403.858, Angle: 225, Coordinates: -285.571:-285.571
Time: 210, Target #0, Type: Aircraft, Distance: 405.858, Angle: 225, Coordinates: -286.985:-286.985
Time: 211, Target #0, Type: Aircraft, Distance: 407.858, Angle: 225, Coordinates: -288.399:-288.399
Time: 212, Target #0, Type: Aircraft, Distance: 409.858, Angle: 225, Coordinates: -289.813:-289.813
